Dates, Investments, Prices
"June 02, 2020","Vanguard FTSE 100 Index Unit Trust A GBP Income, GB00BD3RZ251:GBP historical prices",94.82
"June 03, 2020","Vanguard FTSE 100 UCITS ETF, VUKE:LSE:GBP historical prices",27.69
"June 02, 2020","Vanguard FTSE U.K. Equity Income Index Inc, GB00B5B74684:GBP historical prices",134.94
"June 03, 2020","Vanguard S&P 500 UCITS ETF, VUSA:LSE:GBP historical prices",46.65
"June 02, 2020","Vanguard US Equity Index Inc, GB00B5B74S01:GBP historical prices",456.24
"June 03, 2020","Vanguard FTSE Developed Asia Pacific ex Japan UCITS ETF USD Distributing, VAPX:LSE:GBP historical prices",18.11
"June 03, 2020","Vanguard Global Minimum Volatility UCITS ETF Shares USD Acc, VMVL:LSE:GBP historical prices",26.08
"June 03, 2020","Vanguard FTSE Emerging Markets UCITS ETF USD Distributing, VFEM:LSE:GBP historical prices",42.57
"June 02, 2020","Vanguard Investments Funds ICVC-Vanguard U.K. Long Duration Gilt Index Fund A GBP Gross Income, GB00B44DQC62:GBP historical prices",206.13
"June 02, 2020","Vanguard U.K. Investment Grade Bond Index Fund GBP Income, IE00B1S74W91:GBP historical prices",60.98
"June 03, 2020","Vanguard USD Treasury Bond UCITS ETF, VUTY:LSE:GBP historical prices",21.3
"June 03, 2020","Vanguard USD Corporate 1-3 year Bond UCITS ETF, VUSC:LSE:GBP historical prices",41.03
"June 03, 2020","Vanguard USD Corporate Bond UCITS ETF, VUCP:LSE:GBP historical prices",44.73
