Investment Name, Dates1, Prices1, Dates2, Prices2, Dates3, Prices3
"Vanguard FTSE 100 Index Unit Trust A GBP Income, GB00BD3RZ251:GBP historical prices","June 03, 2020",97.29,"June 02, 2020",94.82,"June 01, 2020",94.02
"Vanguard FTSE 100 UCITS ETF, VUKE:LSE:GBP historical prices","June 04, 2020",28.1,"June 03, 2020",27.69,"June 02, 2020",27.34
"Vanguard FTSE U.K. Equity Income Index Inc, GB00B5B74684:GBP historical prices","June 03, 2020",139.68,"June 02, 2020",134.94,"June 01, 2020",133.72
"Vanguard S&P 500 UCITS ETF, VUSA:LSE:GBP historical prices","June 04, 2020",47.16,"June 03, 2020",46.65,"June 02, 2020",46.28
"Vanguard US Equity Index Inc, GB00B5B74S01:GBP historical prices","June 03, 2020",461.69,"June 02, 2020",456.24,"June 01, 2020",455.14
"Vanguard FTSE Developed Asia Pacific ex Japan UCITS ETF USD Distributing, VAPX:LSE:GBP historical prices","June 04, 2020",18.29,"June 03, 2020",18.11,"June 02, 2020",17.59
"Vanguard Global Minimum Volatility UCITS ETF Shares USD Acc, VMVL:LSE:GBP historical prices","June 04, 2020",26.26,"June 03, 2020",26.18,"June 02, 2020",25.87
"Vanguard FTSE Emerging Markets UCITS ETF USD Distributing, VFEM:LSE:GBP historical prices","June 04, 2020",43.07,"June 03, 2020",42.57,"June 02, 2020",41.51
"Vanguard Investments Funds ICVC-Vanguard U.K. Long Duration Gilt Index Fund A GBP Gross Income, GB00B44DQC62:GBP historical prices","June 03, 2020",202.63,"June 02, 2020",206.13,"June 01, 2020",207.15
"Vanguard U.K. Investment Grade Bond Index Fund GBP Income, IE00B1S74W91:GBP historical prices","June 03, 2020",60.86,"June 02, 2020",60.98,"June 01, 2020",61.24
"Vanguard USD Treasury Bond UCITS ETF, VUTY:LSE:GBP historical prices","June 04, 2020",21.43,"June 03, 2020",21.3,"June 02, 2020",21.56
"Vanguard USD Corporate 1-3 year Bond UCITS ETF, VUSC:LSE:GBP historical prices","June 04, 2020",41.48,"June 03, 2020",41.03,"June 02, 2020",41.09
"Vanguard USD Corporate Bond UCITS ETF, VUCP:LSE:GBP historical prices","June 04, 2020",45.09,"June 03, 2020",44.73,"June 02, 2020",44.99
